iter	Logloss
0	0.6788024408
1	0.6671202225
2	0.6550317476
3	0.6425222043
4	0.6306338535
5	0.6203564316
6	0.6093938612
7	0.5983102094
8	0.5881667793
9	0.5787172864
10	0.5696054395
11	0.5605890812
12	0.5522292308
13	0.5443617761
14	0.5371314477
15	0.530204819
16	0.5239066482
17	0.5183248058
18	0.5124189868
19	0.5072727052
20	0.5017362192
21	0.4963449749
22	0.4921799143
23	0.4877610802
24	0.4841954575
25	0.4805915385
26	0.4761078567
27	0.4724305512
28	0.468946178
29	0.4654384328
30	0.4615956436
31	0.4587945014
32	0.4559357577
33	0.4525079138
34	0.4495260882
35	0.4468864715
36	0.4436500711
37	0.4413455303
38	0.4391440241
39	0.4363531412
40	0.4341791717
41	0.4318430569
42	0.4293787306
43	0.427273159
44	0.4254891918
45	0.4235489868
46	0.4218644915
47	0.4201781464
48	0.4182364514
49	0.4163450517
50	0.4146299454
51	0.4132837566
52	0.4119108626
53	0.410358878
54	0.409085057
55	0.4079091402
56	0.4064041391
57	0.4052019505
58	0.4036389678
59	0.4025301029
60	0.4014445138
61	0.4001822301
62	0.3988558357
63	0.3977772899
64	0.396944539
65	0.396024031
66	0.3949446582
67	0.3938843265
68	0.3930151605
69	0.3923358488
70	0.391231079
71	0.3900595989
72	0.3888024078
73	0.3877229096
74	0.3868526992
75	0.3859774444
76	0.3851154242
77	0.3843153763
78	0.3835293919
79	0.3829921159
80	0.3820373618
81	0.3811879562
82	0.3805055057
83	0.3797475094
84	0.3789213295
85	0.3782521648
86	0.3774237512
87	0.3766657908
88	0.3760938534
89	0.3752645094
90	0.3744174215
91	0.3737728145
92	0.3729030866
93	0.3723007561
94	0.3713820582
95	0.3706460596
96	0.3700056378
97	0.3695525829
98	0.369060187
99	0.368489089
100	0.3679927752
101	0.3673641382
102	0.3668538411
103	0.3663621613
104	0.3657933402
105	0.3651962352
106	0.3645271587
107	0.3639657717
108	0.3633448899
109	0.3629301638
110	0.3624120051
111	0.3618258547
112	0.3611589214
113	0.3606541419
114	0.3602277009
115	0.3596547023
116	0.359246113
117	0.3585640943
118	0.3580305819
119	0.3576805519
120	0.3570048808
121	0.3565772178
122	0.3560609647
123	0.355569011
124	0.3550373171
125	0.354492371
126	0.3539760908
127	0.3535828075
128	0.3531384255
129	0.3527215754
130	0.3523338126
131	0.3518490837
132	0.3514155838
133	0.3510469302
134	0.3504569537
135	0.3500876672
136	0.3496848789
137	0.349289949
138	0.3488556083
139	0.348416478
140	0.348019487
141	0.3474172331
142	0.3470547093
143	0.3466608336
144	0.3461673358
145	0.3456865833
146	0.3452748023
147	0.3450209764
148	0.3447279311
149	0.3444085535
150	0.3439805144
151	0.3435682353
152	0.3430868417
153	0.3427471398
154	0.3423984588
155	0.3419826263
156	0.3415839446
157	0.3410194897
158	0.3407023497
159	0.3403361199
160	0.3399914395
161	0.339636052
162	0.3393284995
163	0.3389855982
164	0.3386078219
165	0.3383009641
166	0.337920244
167	0.3375690527
168	0.3371206478
169	0.3369110978
170	0.3364888077
171	0.336065012
172	0.3357972798
173	0.3355114326
174	0.3352705102
175	0.335003158
176	0.3345438395
177	0.3341471808
178	0.3337664268
179	0.333455776
180	0.3330706354
181	0.3328685477
182	0.3325337674
183	0.3321048513
184	0.3319102728
