iter	Logloss
0	0.6830055884
1	0.6726036551
2	0.6645522634
3	0.6564465897
4	0.6476298209
5	0.6397044033
6	0.6327595105
7	0.6258973542
8	0.6191696627
9	0.6128625787
10	0.6063800734
11	0.6001233381
12	0.5941677355
13	0.5885956656
14	0.5832708823
15	0.57830405
16	0.5733450247
17	0.5688962372
18	0.5651511987
19	0.5607826305
20	0.557120448
21	0.553571186
22	0.5499267924
23	0.5464092924
24	0.5427970682
25	0.539796124
26	0.5368037625
27	0.5336325699
28	0.5305588796
29	0.5274549389
30	0.5247271659
31	0.522395755
32	0.5199568384
33	0.5175643066
34	0.5155024046
35	0.5133732454
36	0.5110783338
37	0.5088032795
38	0.5073910189
39	0.5057257124
40	0.5040219935
41	0.5018510675
42	0.5000761976
43	0.4984232087
44	0.496915621
45	0.4950908127
46	0.4933786674
47	0.4920928256
48	0.4906035192
49	0.4893864412
50	0.4880753658
51	0.4867567033
52	0.4855632258
53	0.4845568246
54	0.4833789018
55	0.4823326596
56	0.4813841174
57	0.4804553398
58	0.4793033264
59	0.478328606
60	0.477187222
61	0.4762211762
62	0.4753125584
63	0.4745724243
64	0.4734952706
65	0.4726578235
66	0.4715913674
67	0.4705816774
68	0.4697484775
69	0.4689187194
70	0.4681577189
71	0.4675138628
72	0.466593062
73	0.4656536565
74	0.4651184322
75	0.4642349732
76	0.4635964439
77	0.4626687704
78	0.4619125108
79	0.4611793399
80	0.460593333
81	0.4597923803
82	0.4593747272
83	0.4587416264
84	0.4582592748
85	0.4575899172
86	0.4570200707
87	0.4563003164
88	0.4558405329
89	0.4552269401
90	0.4545469683
91	0.4541286515
92	0.45373388
93	0.4532429161
94	0.4528068442
95	0.4521975427
96	0.4516321491
97	0.4512737463
98	0.450724606
99	0.4502142694
100	0.4495220565
101	0.4490249874
102	0.4485614265
103	0.4481026382
104	0.4475619634
105	0.4471451856
106	0.4467328426
107	0.4462753163
108	0.4458807728
109	0.4455611615
110	0.4450810226
111	0.4445905411
112	0.4443182387
113	0.4439392144
114	0.4434046082
115	0.4430114888
116	0.4426327529
117	0.4422009194
118	0.4418223212
119	0.4415363572
120	0.441099796
121	0.4406243087
122	0.4401914603
123	0.4398436221
124	0.4393907892
125	0.4390210508
126	0.4387095916
127	0.4382786897
128	0.4379083781
129	0.4375218623
130	0.4370643599
131	0.4366782851
132	0.4363375818
133	0.4358707906
134	0.4355281032
135	0.4353398629
136	0.4349494419
137	0.4348754895
138	0.434458341
139	0.4341174319
140	0.4337448496
141	0.4333615467
142	0.43299121
143	0.4325665957
144	0.4323058828
145	0.4319695727
146	0.4317398297
147	0.4313153018
